matrix_id,name,tf_class,family,tax_group,species,acc,information_content,binding_preference
MA0770.1,HSF2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0771.1,HSF4,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0773.1,MEF2D,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0774.1,MEIS2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0776.1,MYBL1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0777.1,MYBL2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0105.4,NFKB1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0780.1,PAX3,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0783.1,PKNOX2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0787.1,POU3F2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0788.1,POU3F3,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0789.1,POU3F4,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0792.1,POU5F1B,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0794.1,PROX1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0795.1,SMAD3,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0796.1,TGIF1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0797.1,TGIF2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0511.2,RUNX2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0801.1,MGA,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0803.1,TBX15,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0805.1,TBX1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0806.1,TBX4,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0807.1,TBX5,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0808.1,TEAD3,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0813.1,TFAP2B,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0815.1,TFAP2C,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0816.1,Ascl2,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0822.1,HES7,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0823.1,HEY1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0826.1,OLIG1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0827.1,OLIG3,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0838.1,CEBPG,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0845.1,FOXB1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0032.2,FOXC1,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
MA0848.1,FOXO4,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
